player_id,age,club_id,estimated_selling_value,expiry_date,name,position,rating,selling_value,selling_value_difference,transfer_status,updated_date,wage,value,contract,experience,personality,weeks_at_the_club,highest_bidding_club
9690977,31,102787,9977277,"2019-11-15 14:59:00","Vili Vidmar",DEFENDER_RIGHT,14,52000,0,ALREADY_SOLD,NULL,999,264998,"Until the end of the season",0,-,207,"OS FIVES CLUB"
6416840,32,101686,28275898,"2019-11-15 21:00:00","Tadhg Dermody",MIDFIELDER_RIGHT,50,57051000,0,ALREADY_SOLD,NULL,184227,48579001,"3 seasons",0,-,10,"Mocni Veprovi"
8497927,25,100790,11327282,"2019-11-15 14:22:00","Driskoll Richards",ATTACKER_CENTER,13,252000,0,ALREADY_SOLD,NULL,552,315289,"Until the end of the season",0,-,27,Madrilenos
6535118,34,98451,7360007,"2019-11-15 14:56:00","Gabriel Tanase",DEFENDER_RIGHT,10,2000,0,ALREADY_SOLD,NULL,599,76140,"Until the end of the season",0,-,278,"ADO team"
6532320,30,98451,9959414,"2019-11-15 15:01:00","Edmund Kusiak",MIDFIELDER_CENTER,13,5000,0,ALREADY_SOLD,NULL,966,277836,"Until the end of the season",0,-,234,"Mugraria Futebol Raça"
6394584,34,96542,8801966,"2019-11-15 15:01:00","Mark Walshe",MIDFIELDER_RIGHT,13,2000,0,ALREADY_SOLD,NULL,827,76412,"Until the end of the season",0,-,137,"Britannia XI"
6258624,34,88764,10619832,"2019-11-15 15:01:00","Dinis Moreira",MIDFIELDER_CENTER,16,221300,0,ALREADY_SOLD,NULL,1814,144933,"Until the end of the season",0,-,21,"Medicalpark Antalyaspor"
8600572,27,85789,7514710,"2019-11-15 14:49:00","Ninoslav Sekez",DEFENDER_LEFT,6,806000,0,ALREADY_SOLD,NULL,131,127092,"Until the end of the season",0,-,234,"Palic Koming"
10496746,21,81877,9559949,"2019-11-15 15:41:00","Julij Sustercic",MIDFIELDER_CENTER,7,12001000,0,ALREADY_SOLD,NULL,124,128217,"3 seasons",0,-,14,voldemort
6236062,32,80519,8259877,"2019-11-15 14:56:00","Alrigo Coppola",DEFENDER_CENTER,11,2000,0,ALREADY_SOLD,NULL,565,140207,"Until the end of the season",0,-,381,"Shark Team"
10224433,22,32776,6417157,"2019-11-15 17:05:00","Bozkurt Aydintan",MIDFIELDER_CENTER,3,2000,0,ALREADY_SOLD,NULL,25,130824,"Until the end of the season",0,-,129,"Mugraria Futebol Raça"
8209212,26,15996,14044686,"2019-11-15 14:21:00","Reinhold Low",ATTACKER_CENTER,19,166000,0,ALREADY_SOLD,NULL,2678,869873,"Until the end of the season",0,-,12,"Umm al-Fahm FC"
9672714,21,85789,9011617,"2019-11-15 19:47:00","Stevan Radonic",GOALKEEPER,7,51000,0,ALREADY_SOLD,NULL,96,46290,"Until the end of the season",0,-,165,Elektronicar
11111166,18,79849,10075885,"2019-11-15 16:03:00","Milisav Prlincevic",DEFENDER_LEFT,8,22000,0,ALREADY_SOLD,NULL,76,83120,"Until the end of the season",0,-,11,"ADO team"
7425957,29,105745,10343107,"2019-11-15 19:52:00","Raffael Duca",ATTACKER_LEFT,13,93000,0,ALREADY_SOLD,NULL,929,309398,"Until the end of the season",0,-,10,eflatun
10625320,18,103237,12125119,"2019-11-15 22:09:00","Damjan Arcaba",MIDFIELDER_CENTER,11,3000000,0,ALREADY_SOLD,NULL,115,218322,"2 seasons",0,-,27,"Knockea United"
6574253,33,98578,13522407,"2019-11-15 20:45:00","Nick Sampson",DEFENDER_CENTER,21,8002000,0,ALREADY_SOLD,NULL,4329,627418,"3 seasons",0,-,10,"Royal Antwerp Football Club"
9321800,23,94249,16943702,"2019-11-15 21:09:00","Zemin Zheng",MIDFIELDER_LEFT,23,15037000,0,ALREADY_SOLD,NULL,4846,2034708,"Until the end of the season",0,-,44,"FCF Chelsea"
10753728,19,94162,9418225,"2019-11-15 22:17:00","Julio Marcelino",DEFENDER_CENTER,7,118435,0,ALREADY_SOLD,NULL,103,120081,"Until the end of the season",0,-,89,Idmangucu
9992610,21,37662,8647075,"2019-11-15 20:06:00","Ales Vidmer",MIDFIELDER_CENTER,5,9831000,0,ALREADY_SOLD,NULL,64,131725,"2 seasons",0,-,10,"NO MA´AM"
9272344,23,32776,12750926,"2019-11-15 20:35:00","Ata Kahveci",MIDFIELDER_CENTER,15,623000,0,ALREADY_SOLD,NULL,1203,415875,"Until the end of the season",0,"Ata is very inconsistent.",188,"Sloga Dogoj"
10598349,21,104681,9820587,"2019-11-16 20:05:00","Ulises McLoud",DEFENDER_CENTER,8,1461000,0,ALREADY_SOLD,NULL,103,124419,"2 seasons",0,"He's a very funny and friendly character.",41,"Jelonki FC"
10622012,18,34861,11929988,"2019-11-17 02:29:00","Nebojsa Krasic",ATTACKER_CENTER,12,95000,0,ALREADY_SOLD,NULL,292,141586,"Until the end of the season",0,-,28,izola100
7832179,32,85789,7695864,"2019-11-15 23:10:00","Kenan Ertuz",MIDFIELDER_LEFT,9,171000,0,ALREADY_SOLD,NULL,330,90225,"3 seasons",0,-,274,"SC Real Madrid"
